work_order, service_code
325844, 'SFS30'
330291, 'PFI10'
364987, 'SFS30'
342798, 'PFI10'
337307, 'PFI10'
367524, 'SFS30'
333175, 'PFI10'
342954, 'PFI10'
333613, 'PFI10'
354850, 'PFI10'
345785, 'PFI10'
337475, 'PFI10'
332525, 'PFI10'
369247, 'PFI10'
336743, 'PFI10'
334632, 'PFI10'
336757, 'PFI10'
332531, 'PFI10'
313514, 'SFS30'
345752, 'SFS30'
334815, 'PFI10'
342983, 'SFS30'
334801, 'SFS30'
315617, 'SFS30'
342997, 'PFI10'
345020, 'PFI10'
317000, 'SFS30'
340158, 'PFI10'
328596, 'PFI10'
346267, 'PFI10'
314247, 'PFI10'
340170, 'PFI10'
346515, 'PFI10'
340164, 'PFI10'
342773, 'PFI10'
320479, 'SFS30'
337663, 'SFS30'
368373, 'SFS30'
330118, 'PFI10'
345587, 'PFI10'
364207, 'PFI10'
363568, 'PFI10'
337139, 'PFI10'
331548, 'PFI10'
332727, 'PFI10'
336555, 'SFS30'
330124, 'PFI10'
332055, 'PFI10'
330871, 'PFI10'
328780, 'PFI10'
323819, 'SFS30'
357140, 'PFI10'
346703, 'PFI10'
332082, 'PFI10'
369086, 'PFI10'
337844, 'SFS30'
328970, 'PFI10'
337850, 'SFS30'
345578, 'SFS30'
340366, 'PFI10'
359637, 'PFI10'
337846, 'SFS30'
332080, 'PFI10'
321942, 'SFS30'
320484, 'SFS30'
340370, 'PFI10'
340364, 'PFI10'
347345, 'PFI10'
367095, 'PFI10'
330873, 'PFI10'
352990, 'PFI10'
363581, 'SFS30'
353442, 'SFS30'
346729, 'PFI10'
318133, 'SFS30'
330867, 'PFI10'
341720, 'SFS30'
326988, 'SFS30'
359184, 'SFS30'
338208, 'SFS30'
334432, 'PFI10'
330898, 'PFI10'
359190, 'SFS30'
330126, 'PFI10'
332731, 'PFI10'
368365, 'SFS30'
332719, 'PFI10'
355782, 'PFI10'
327314, 'PFI10'
368371, 'SFS30'
340172, 'PFI10'
345778, 'PFI10'
342017, 'SFS30'
333188, 'PFI10'
313270, 'SFS30'
347621, 'PFI10'
328580, 'PFI10'
345750, 'SFS30'
313516, 'SFS30'
